FreqGoProvider,Deaf,MedConditions_Diabetes,MedConditions_HighBP,MedConditions_LungDisease,MedConditions_Depression,AverageSleepNight,AverageTimeSitting,EverHadCancer,Age,BirthGender,BMI,PHQ4,WeeklyMinutesModerateExercise,AvgDrinksPerWeek,GeneralHealth_Excellent,GeneralHealth_VeryGood,GeneralHealth_Good,GeneralHealth_Fair,GeneralHealth_Poor,smokeStat_Current,smokeStat_Former,smokeStat_Never,eCigUse_Current,eCigUse_Former,eCigUse_Never
-0.10452096,0.005385954,-0.038937088,-0.21968712,-0.038704205,-0.13214624,-0.10548414,0.1422208,0.018656928,-0.64386874,0.042895533,0.27087066,-0.035146482,-0.18231638,-0.019972257,0.1732303,0.4107737,0.40576354,-0.9287896,0.04340771,0.23456651,0.35116157,-1.5529639,0.00892889,0.024404084,-0.06212299
-0.08071005,-0.004388158,0.02818166,-0.12045833,-0.08082803,0.03018474,-0.10233379,-0.1867682,0.03504984,-0.5207125,-0.016684035,-0.06818328,0.19315313,0.11806385,0.06348864,0.085889794,0.107293226,-1.1763582,0.22373736,0.03940997,-1.7038949,0.37145674,0.62335026,0.028025636,-0.41180438,0.21583813
-0.1388743,-0.19434875,0.021078091,0.06525605,-0.0036444564,0.025648696,-0.13314816,0.115671024,0.03931059,0.11743954,-0.03988298,-0.17076485,-0.11089223,-0.08678785,0.019641414,0.13994181,0.35883376,-1.4333308,0.28316525,0.044024006,0.22029424,0.31652436,-1.633947,0.0077963704,0.024252405,-0.043748517
-0.286209,0.011314938,0.042432684,0.17786808,-0.011693188,0.059724096,0.19776851,0.30123073,0.03665153,-1.2568188,0.01901055,0.1054301,-0.06786099,0.30871484,-0.0015315665,0.10123669,0.32163563,-0.98022074,0.24147809,0.04099973,0.25740856,-1.2463799,0.55943096,0.010096543,0.027670406,-0.053857736
-0.08710493,0.020320503,0.03141903,-0.52635777,-0.055169653,0.039633047,0.024987817,0.08871709,0.031229302,0.50638264,-0.021379687,0.26010704,-0.06475256,0.23128183,-0.22427566,0.09929118,-1.7668345,0.19997989,0.2898019,0.047117077,0.24287626,-1.231429,0.631944,0.009357167,0.018264787,-0.046170443
-0.055964567,0.013227826,-0.057282474,0.37639022,-0.021309,0.04215595,0.1808011,0.38845804,0.03078175,-0.34566402,0.020811012,0.08990556,-0.03254658,0.028913626,0.0064861537,0.18229486,0.42092207,0.53169113,-1.0384325,0.040771082,0.24084485,0.34030712,-1.3870162,0.008735696,0.03095381,-0.04923592
0.030880332,0.010185152,0.00023887411,0.24810193,-0.0076323715,-0.027603569,-0.0895605,-0.13265117,0.034203913,-0.32281476,0.009104324,0.02386637,-0.07292492,-0.075407736,0.04232985,-2.5211983,0.27076918,0.34964988,0.33413213,0.062170085,0.21542491,0.35785526,-1.6311486,0.008826418,0.027996762,-0.030225955
-0.27969706,0.010239332,0.02431043,-0.29244903,-0.0060452158,0.02428488,0.1882636,0.18713601,0.028391425,-0.47155645,0.015460951,0.06396088,0.030752277,-0.21958046,0.12156714,0.104887314,-1.7455842,0.3416453,0.2883155,0.04545853,0.2528252,-1.406327,0.47625574,0.009282446,0.034409538,-0.052277233
-0.13226782,0.012812735,0.03763764,-0.09748721,-0.013725763,0.02276209,0.20017038,-0.4111119,0.0313944,0.19080113,-0.047634166,-0.16852331,0.08305955,0.031681694,-0.03627179,0.13442959,0.35609996,-1.4554542,0.28690204,0.04697574,0.2070703,0.30073136,-1.6747364,0.009216127,0.025125446,-0.04679838
-0.15313964,0.005821834,0.01360057,-0.20141192,-0.01111479,-0.0011357534,-0.08636268,0.11291249,0.020089509,-1.1404632,-0.018813884,-0.30666637,0.025512077,-0.04651399,-0.017601876,0.096599616,-1.608917,0.31563795,0.26398656,0.044054646,0.24843319,-1.6224018,0.43713924,0.008915311,0.027854497,-0.03966014
